"","x"
"1","TUG1"
"2","MXI1"
"3","CSRP1"
"4","SPARC"
"5","CST3"
"6","KLC1"
"7","JAG1"
"8","ROBO1"
"9","DMD"
"10","BGN"
"11","KCTD12"
"12","NKTR"
"13","ACTN1"
"14","NUTF2"
"15","CDH11"
"16","UBE2L3"
"17","BPTF"
"18","PRKD1"
"19","PFDN1"
"20","RPL37"
"21","OTUB1"
"22","TARDBP"
"23","PLEKHB1"
"24","SERBP1"
"25","ID2"
"26","RNF130"
"27","PRPF3"
"28","NDUFS5"
"29","TCF4"
"30","ZFYVE26"
"31","SKIV2L2"
"32","KPNA6"
"33","DCN"
"34","RPLP2"
"35","PSMD4"
"36","CCT3"
"37","SCN1B"
"38","SF3B1"
"39","MPHOSPH9"
"40","PPP2CB"
"41","CREG1"
"42","MON2"
"43","RPL35A"
"44","VPS13B"
"45","SNAPC5"
"46","ZNF518A"
"47","ARIH1"
"48","PTPN13"
"49","RAB40B"
"50","POGZ"
"51","PPP1R7"
"52","GBAS"
"53","ORAI2"
"54","PI4KA"
"55","ANXA1"
"56","FAM168B"
