"","corRvec"
"C9m:CHMP2B",0.0644813708282466
"C9m:GRN",0.0703081687212404
"CHMP2B:GRN",-0.000809280741269117
"C9m:VCP",0.000608702570957236
"CHMP2B:VCP",0.00282630825103156
"GRN:VCP",0.0570556186728019
"C9m:C9r",0.0645666166296761
"CHMP2B:C9r",0.0786501364168367
"GRN:C9r",0.058314718909487
"VCP:C9r",0.029150950088024
"C9m:C9mCON",0.116612110599287
"CHMP2B:C9mCON",0.0734802100046687
"GRN:C9mCON",0.0365831006580911
"VCP:C9mCON",0.0327940162072308
"C9r:C9mCON",0.0593448675755716
"C9m:C9rCON",0.0112920939477153
"CHMP2B:C9rCON",0.0346473642370435
"GRN:C9rCON",0.0931704805243094
"VCP:C9rCON",0.0991397017309032
"C9r:C9rCON",0.194266757450724
"C9mCON:C9rCON",0.00780661080243951
"C9m:CHCON",0.164071069025977
"CHMP2B:CHCON",0.113398181575512
"GRN:CHCON",0.168137597451869
"VCP:CHCON",0.0188640599674152
"C9r:CHCON",0.110565899309155
"C9mCON:CHCON",0.116942577028266
"C9rCON:CHCON",0.0699343137604324
"C9m:GRNCON",0.101396027527849
"CHMP2B:GRNCON",0.0680810603745589
"GRN:GRNCON",0.230625857812718
"VCP:GRNCON",0.0616769817400233
"C9r:GRNCON",0.106495231065976
"C9mCON:GRNCON",0.104771445401629
"C9rCON:GRNCON",0.115052331226168
"CHCON:GRNCON",0.185907259018009
"C9m:VCPCON",0.0182184014549875
"CHMP2B:VCPCON",0.00502341404123566
"GRN:VCPCON",0.0215667264373627
"VCP:VCPCON",0.0218272970344846
"C9r:VCPCON",0.041635815957096
"C9mCON:VCPCON",0.0664458020505214
"C9rCON:VCPCON",-0.00914294524984576
"CHCON:VCPCON",0.0405714950728694
"GRNCON:VCPCON",0.0143623438973487
